nctid,restart_date,restart_status
NCT03249220,NA,NA
NCT03492268,NA,NA
NCT03953326,NA,NA
NCT04037865,NA,NA
NCT04355169,NA,NA
NCT02063828,NA,NA
NCT03479151,NA,NA
NCT03894540,NA,NA
NCT04465630,NA,NA
NCT04616573,NA,NA
NCT04664907,NA,NA
NCT04738409,2022-12-24,ACTIVE_NOT_RECRUITING
NCT04178564,NA,NA
NCT03094611,NA,NA
NCT03139747,NA,NA
NCT03819218,NA,NA
NCT03875859,NA,NA
NCT04049981,NA,NA
NCT04259099,NA,NA
NCT04740099,NA,NA
NCT02616757,NA,NA
NCT02878083,NA,NA
NCT03166787,NA,NA
NCT03998410,NA,NA
NCT03099486,NA,NA
NCT03602586,2022-07-14,ACTIVE_NOT_RECRUITING
NCT03701074,NA,NA
NCT03742323,NA,NA
NCT03775473,NA,NA
NCT03996395,NA,NA
NCT04116684,NA,NA
NCT03175744,NA,NA
NCT03605537,NA,NA
NCT03865407,NA,NA
NCT03938545,NA,NA
NCT03938857,NA,NA
NCT04253236,NA,NA
NCT03463980,NA,NA
NCT03794050,NA,NA
NCT03839355,NA,NA
NCT04294719,2022-04-21,COMPLETED
NCT04409327,NA,NA
NCT00244218,NA,NA
NCT03844568,NA,NA
NCT04132375,NA,NA
NCT04349371,NA,NA
NCT02557542,NA,NA
NCT03102437,NA,NA
NCT03207477,NA,NA
NCT03338296,NA,NA
NCT03891173,NA,NA
NCT04029961,NA,NA
NCT04095416,NA,NA
NCT04240483,NA,NA
NCT04747730,NA,NA
NCT04754009,NA,NA
NCT01775176,NA,NA
NCT01881789,NA,NA
NCT03565497,NA,NA
NCT03574857,NA,NA
NCT03638011,NA,NA
NCT03922490,NA,NA
NCT02557412,NA,NA
NCT02885649,NA,NA
NCT03360721,2023-09-01,ACTIVE_NOT_RECRUITING
NCT03394768,NA,NA
NCT03423147,NA,NA
NCT03848832,NA,NA
NCT04063150,NA,NA
NCT04568174,NA,NA
NCT02471703,NA,NA
NCT03320642,NA,NA
NCT03344003,NA,NA
NCT03539601,NA,NA
NCT03803111,NA,NA
NCT04476251,NA,NA
NCT04553406,NA,NA
NCT01365416,2023-11-10,ACTIVE_NOT_RECRUITING
NCT03534583,NA,NA
NCT04140175,NA,NA
NCT04179227,NA,NA
NCT04540874,NA,NA
NCT00875342,NA,NA
NCT02445456,NA,NA
NCT03419403,NA,NA
NCT03670914,NA,NA
NCT04151563,NA,NA
NCT01416428,NA,NA
NCT03095287,NA,NA
NCT04031404,NA,NA
NCT01843413,NA,NA
NCT03256045,NA,NA
NCT03449888,NA,NA
NCT03481842,NA,NA
NCT03786107,NA,NA
NCT03894319,NA,NA
NCT03927911,NA,NA
NCT03951961,NA,NA
NCT04478695,NA,NA
